Value,Count,RED,GREEN,BLUE,CL,NVC_CLASS,SC,NVC_SUBCL,FRM,NVC_FORM,DIV,NVC_DIV,MACRO_CD,NVC_MACRO,GR,NVC_GROUP,LEVEL3,ECOLSYS_LU,NVCMES
127,19448442,0.14902,0.43137,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M883,Appalachian-Central Interior-Northeastern Mesic Forest,G020,Appalachian Central Interior Mesic Forest,4401,Southern and Central Appalachian Cove Forest,1.B.2.NaM883G020E127
128,675111,0.14902,0.43137,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M008,Southern Mesic Mixed Broadleaf Forest,G166,Southern Mesic Beech - Oak - Mixed Deciduous Forest,4203,Crowley's Ridge Mesic Loess Slope Forest,1.B.1.NaM008G166E128
129,7230150,0.14902,0.43137,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M883,Appalachian-Central Interior-Northeastern Mesic Forest,G020,Appalachian Central Interior Mesic Forest,4202,Southern Piedmont Mesic Forest,1.B.2.NaM883G020E129
130,339649,0.14902,0.45098,0.34118,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G162,Virginia Pine-Table Mountain Pine Woodland & Barrens,4314,Appalachian Shale Barrens,1.B.2.NaM502G162E130
131,276895,0.14902,0.45098,0.34118,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G495,North Atlantic Maritime & Coastal Plain Forest,4211,Atlantic Coastal Plain Northern Maritime Forest,1.B.2.NaM502G495E131
132,9930672,0.14902,0.45098,0.34118,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M159,Laurentian & Acadian Pine - Hardwood Forest & Woodland,G160,Great Lakes Pine Barrens,5515,Laurentian Pine-Oak Barrens,1.B.2.NaM159G160E132
133,667832,0.14902,0.45098,0.34118,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G161,Pitch Pine Barrens,4539,Northeastern Interior Pine Barrens,1.B.2.NaM502G161E133
134,1067486,0.14902,0.45098,0.34118,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G161,Pitch Pine Barrens,4540,Northern Atlantic Coastal Plain Pitch Pine Barrens,1.B.2.NaM502G161E134
135,367665,0.14902,0.45098,0.34118,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G162,Virginia Pine-Table Mountain Pine Woodland & Barrens,4537,Southern Appalachian Montane Pine Forest and Woodland,1.B.2.NaM502G162E135
136,4605637,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M500,Central Rocky Mountain Mesic Lower Montane Forest,G212,East Cascades Mesic Grand Fir - Douglas-fir Forest,4602,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,1.B.2.NbM500G212E136
137,21165354,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G215,Middle Rocky Mountain Montane Douglas-fir Forest & Woodland,4543,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,1.B.2.NbM501G215E137
138,71451749,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G210,Central Rocky Mountain Douglas-fir - Pine Forest,4524,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,1.B.2.NbM501G210E138
139,2382638,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G213,Central Rocky Mountain Ponderosa Pine Open Woodland,5302,Northern Rocky Mountain Foothill Conifer Wooded Steppe,1.B.2.NbM501G213E139
140,23180691,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M500,Central Rocky Mountain Mesic Lower Montane Forest,G211,Central Rocky Mountain Mesic Grand Fir - Douglas-fir Forest,4609,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,1.B.2.NbM500G211E140
141,30877183,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G213,Central Rocky Mountain Ponderosa Pine Open Woodland,4529,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,1.B.2.NbM501G213E141
142,1005561,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M500,Central Rocky Mountain Mesic Lower Montane Forest,G211,Central Rocky Mountain Mesic Grand Fir - Douglas-fir Forest,4510,Northern Rocky Mountain Western Larch Savanna,1.B.2.NbM500G211E142
143,26685955,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G216,Northwestern Great Plains-Black Hills Ponderosa Pine Forest & Woodland,4548,Northwestern Great Plains - Black Hills Ponderosa Pine Woodland and Savanna,1.B.2.NbM501G216E143
144,7546663,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G209,Rocky Mountain Foothill-Rock Outcrop Limber Pine - Juniper Woodland,4526,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1.B.2.NbM501G209E144
145,4649477,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G222,Rocky Mountain Subalpine-Montane Aspen Forest & Woodland,4324,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1.B.2.NbM020G222E145
146,731429,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G224,Intermountain Basins Subalpine Limber Pine - Bristlecone Pine Woodland,4515,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,1.B.2.NbM020G224E146
147,5522700,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G223,Northern Rocky Mountain Whitebark Pine - Subalpine Larch Woodland,4525,Northern Rocky Mountain Subalpine Woodland and Parkland,1.B.2.NbM020G223E147
148,29336036,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G222,Rocky Mountain Subalpine-Montane Aspen Forest & Woodland,4111,Rocky Mountain Aspen Forest and Woodland,1.B.2.NbM020G222E148
149,47458101,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G220,Rocky Mountain Lodgepole Pine Forest & Woodland,4527,Rocky Mountain Lodgepole Pine Forest,1.B.2.NbM020G220E149
150,2800779,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G220,Rocky Mountain Lodgepole Pine Forest & Woodland,4544,Rocky Mountain Poor-Site Lodgepole Pine Forest,1.B.2.NbM020G220E150
151,51602560,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G219,Rocky Mountain Subalpine Dry-Mesic Spruce - Fir Forest & Woodland,4531,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,1.B.2.NbM020G219E151
152,39030852,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G219,Rocky Mountain Subalpine Dry-Mesic Spruce - Fir Forest & Woodland,4611,Rocky Mountain Subalpine Mesic Spruce-Fir Forest and Woodland,1.B.2.NbM020G219E152
153,1554715,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G221,Rocky Mountain Subalpine-Montane Limber Pine - Bristlecone Pine Woodland,4532,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,1.B.2.NbM020G221E153
154,1024850,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G222,Rocky Mountain Subalpine-Montane Aspen Forest & Woodland,4112,Rocky Mountain Bigtooth Maple Ravine Woodland,1.B.2.NbM020G222E154
155,11118376,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G226,Southern Rocky Mountain White Fir - Douglas-fir Dry Forest,4528,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,1.B.2.NbM022G226E155
156,8569018,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G225,Rocky Mountain Douglas-fir - White Fir - Blue Spruce Mesic Forest,4610,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,1.B.2.NbM022G225E156
157,4526,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G229,Southern Rocky Mountain Ponderosa Pine Open WoodlandSavanna,5605,Southern Rocky Mountain Ponderosa Pine Savanna,1.B.2.NbM022G229E157
158,54321585,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G228,Southern Rocky Mountain Ponderosa Pine Forest & Woodland,4530,Southern Rocky Mountain Ponderosa Pine Woodland,1.B.2.NbM022G228E158
159,8335471,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4520,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,1.B.2.NdM023G344E159
160,382179,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4516,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,1.B.2.NdM023G344E160
161,175406,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4517,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,1.B.2.NdM023G344E161
162,29293449,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4519,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,1.B.2.NdM023G344E162
163,27635717,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4603,Mediterranean California Mesic Mixed Conifer Forest and Woodland,1.B.2.NdM023G344E163
164,236204,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4546,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,1.B.2.NdM023G344E164
165,7523779,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G235,California Coastal Redwood Forest,4601,California Coastal Redwood Forest,1.B.2.NdM024G235E165
166,1338033,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G237,North Pacific Red Alder - Bigleaf Maple - Douglas-fir Forest,4148,North Pacific Broadleaf Landslide Forest and Shrubland,1.B.2.NdM024G237E166
167,10866782,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G241,North Pacific Maritime Silver Fir - Western Hemlock Forest,4547,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,1.B.2.NdM024G241E167
168,3530301,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G751,North Pacific Western Hemlock - Sitka Spruce - Western Red-cedar Seasonal Rainforest,4604,North Pacific Hypermaritime Sitka Spruce Forest,1.B.2.NdM024G751E168
169,1029130,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G751,North Pacific Western Hemlock - Sitka Spruce - Western Red-cedar Seasonal Rainforest,4613,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,1.B.2.NdM024G751E169
170,5255971,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G237,North Pacific Red Alder - Bigleaf Maple - Douglas-fir Forest,4338,North Pacific Lowland Mixed Hardwood-Conifer Forest and Woodland,1.B.2.NdM024G237E170
171,17312625,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G240,North Pacific Maritime Douglas-fir - Western Hemlock Forest,4522,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1.B.2.NdM024G240E171
172,22476562,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G240,North Pacific Maritime Douglas-fir - Western Hemlock Forest,4606,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,1.B.2.NdM024G240E172
173,1835178,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G241,North Pacific Maritime Silver Fir - Western Hemlock Forest,4607,North Pacific Mesic Western Hemlock-Silver Fir Forest,1.B.2.NdM024G241E173
174,1170574,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G240,North Pacific Maritime Douglas-fir - Western Hemlock Forest,4552,North Pacific Wooded Volcanic Flowage,1.B.2.NdM024G240E174
175,4901222,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G749,Sierra-Cascade Red Fir - Mountain Hemlock Forest,4318,Mediterranean California Red Fir Forest,1.B.2.NdM025G749E175
176,208909,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G243,Sierra-Cascade Cold-Dry Subalpine Woodland,4521,Mediterranean California Subalpine Woodland,1.B.2.NdM025G243E176
177,2320184,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G245,North Pacific Mountain Hemlock - Silver Fir Forest & Tree Island,4605,North Pacific Maritime Mesic Subalpine Parkland,1.B.2.NdM025G245E177
178,6120441,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G245,North Pacific Mountain Hemlock - Silver Fir Forest & Tree Island,4523,North Pacific Mountain Hemlock Forest,1.B.2.NdM025G245E178
179,1397593,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G749,Sierra-Cascade Red Fir - Mountain Hemlock Forest,4608,Northern California Mesic Subalpine Woodland,1.B.2.NdM025G749E179
180,31185,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G749,Sierra-Cascade Red Fir - Mountain Hemlock Forest,9307,Northern Pacific Mesic Subalpine Woodland,1.B.2.NdM025G749E180
181,4005433,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G243,Sierra-Cascade Cold-Dry Subalpine Woodland,4533,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,1.B.2.NdM025G243E181
182,17050154,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G248,Columbia Plateau Western Juniper Open Woodland,4513,Columbia Plateau Western Juniper Woodland and Savanna,1.B.2.NcM026G248E182
183,71643541,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G247,Great Basin Pinyon - Juniper Woodland,4514,Great Basin Pinyon-Juniper Woodland,1.B.2.NcM026G247E183
184,6902446,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G249,Intermountain Basins Curl-leaf Mountain-mahogany Scrub & Woodland,4147,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,1.B.2.NcM026G249E184
185,8699525,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G246,Colorado Plateau-Great Basin Juniper Open Woodland,5603,Inter-Mountain Basins Juniper Savanna,1.B.2.NcM026G246E185
186,12620708,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G250,Colorado Plateau Pinyon - Juniper Woodland,5601,Colorado Plateau Pinyon-Juniper Shrubland,1.B.2.NcM027G250E186
187,107223349,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G250,Colorado Plateau Pinyon - Juniper Woodland,4512,Colorado Plateau Pinyon-Juniper Woodland,1.B.2.NcM027G250E187
188,13232445,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G252,Southern Rocky Mountain Juniper Open Woodland,5606,Southern Rocky Mountain Juniper Woodland and Savanna,1.B.2.NcM027G252E188
189,17087759,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G253,Southern Rocky Mountain Pinyon - Juniper Woodland,4534,Southern Rocky Mountain Pinyon-Juniper Woodland,1.B.2.NcM027G253E189
190,1317270,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9826,Northwestern Great Plains Floodplain,1.B.3.NaM028G147E190
191,5115055,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9847,Northwestern Great Plains Riparian,1.B.3.NaM028G147E191
192,1006005,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9823,Western Great Plains Floodplain,1.B.3.NaM028G147E192
193,15568356,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9814,Western Great Plains Floodplain Systems,1.B.3.NaM028G147E193
